t/day		band		uplim	 fd/mjy	fd-/mjy	fd+/mjy
0.185	1keV		FALSE	1.01E-03	2.31E-04	2.65E-04
0.186	1keV		FALSE	1.25E-03	2.81E-04	3.57E-04
0.187	1keV		FALSE	1.12E-03	2.54E-04	3.21E-04
0.189	1keV		FALSE	1.32E-03	3.33E-04	3.45E-04
0.191	1keV		FALSE	1.26E-03	3.12E-04	3.50E-04
0.192	1keV		FALSE	1.21E-03	3.00E-04	3.30E-04
0.193	1keV		FALSE	1.53E-03	3.74E-04	3.78E-04
0.194	1keV		FALSE	1.03E-03	2.17E-04	2.73E-04
0.195	1keV		FALSE	1.67E-03	3.74E-04	4.50E-04
0.196	1keV		FALSE	1.55E-03	3.51E-04	4.26E-04
0.198	1keV		FALSE	1.22E-03	2.70E-04	3.25E-04
0.199	1keV		FALSE	8.63E-04	1.95E-04	2.35E-04
0.201	1keV		FALSE	1.01E-03	1.99E-04	2.50E-04
0.252	1keV		FALSE	6.74E-04	1.49E-04	1.83E-04
0.253	1keV		FALSE	8.30E-04	1.81E-04	2.06E-04
0.254	1keV		FALSE	9.98E-04	2.27E-04	2.66E-04
0.256	1keV		FALSE	5.92E-04	1.43E-04	1.71E-04
0.654	1keV		FALSE	1.70E-04	4.43E-05	5.15E-05
0.66		1keV		FALSE	1.64E-04	3.96E-05	4.45E-05
0.721	1keV		FALSE	1.15E-04	2.68E-05	3.03E-05
0.783	1keV		FALSE	1.41E-04	3.51E-05	4.34E-05
0.788	1keV		FALSE	1.96E-04	4.29E-05	5.21E-05
0.87		1keV		FALSE	8.04E-05	1.68E-05	1.75E-05
1.145	1keV		FALSE	3.13E-05	7.11E-06	7.66E-06
1.94		1keV		FALSE	6.54E-06	1.98E-06	2.67E-06
0.186	U		FALSE	4.52E-02	4.71E-03	5.25E-03
0.19		U		FALSE	4.23E-02	4.58E-03	5.14E-03
0.193	U		FALSE	3.66E-02	4.57E-03	5.22E-03
0.197	B		FALSE	3.80E-02	8.22E-03	1.05E-02
0.2		B		FALSE	3.53E-02	9.25E-03	1.25E-02
0.254	UVM2	FALSE	2.03E-02	3.02E-03	3.54E-03
0.263	Ic		FALSE	2.51E-02	6.06E-03	7.99E-03
0.263	Rc		FALSE	2.75E-02	2.42E-03	2.66E-03
0.263	g		FALSE	2.51E-02	4.23E-03	5.08E-03
0.431	r		FALSE	3.22E-02	1.73E-03	1.83E-03
0.445	z		FALSE	3.50E-02	6.68E-03	8.26E-03
0.456	R		FALSE	2.75E-02	3.11E-03	3.50E-03
0.68		i		FALSE	1.77E-02	1.26E-03	1.35E-03
0.656	UVW1	FALSE	6.13E-03	1.35E-03	1.73E-03
0.663	U		TRUE	2.05E-02	3.45E-03	4.15E-03
0.69		g		FALSE	1.37E-02	4.95E-04	5.13E-04
0.69		r		FALSE	1.66E-02	7.47E-04	7.82E-04
0.7		i		FALSE	1.56E-02	8.37E-04	8.84E-04
0.713	R		FALSE	1.69E-02	1.34E-03	1.46E-03
0.713	I		FALSE	9.20E-03	1.89E-03	2.38E-03
0.72		UVW2	FALSE	4.35E-03	9.78E-04	1.26E-03
0.726	V		TRUE	6.65E-02	1.12E-02	1.35E-02
0.784	B		TRUE	1.98E-02	3.34E-03	4.01E-03
0.852	UVW1	FALSE	4.87E-03	1.21E-03	1.61E-03
0.858	U		TRUE	1.59E-02	2.68E-03	3.23E-03
